product_id	description	price	stock	Company	Category	description_details
P154	Premium Cat Brush	55.8075	86	Meow Mart	Scratching Posts	Made for adventurous cats.
P155	Premium Cat Carrier	15.0525	29	Claw & Order	Food	Designed for adventurous cats.
P156	Premium Cat Brush	44.2125	93	Tailor Made for Cats	Apparel	Perfect for healthy cats.
P157	Eco-friendly Cat Carrier	8.25	31	Purrfectly Practical	Electronics	Ideal for adventurous cats.
P158	Deluxe Cat Food	16.065	51	Claw & Order	Scratching Posts	Perfect for pampered cats.
P159	Eco-friendly Cat Brush	51.105	0	Pawsitive Finds	Accessories	Ideal for healthy cats.
P160	Premium Cat Food	36.5775	58	Paw Prints Co.	Training	Best for stylish cats.
P161	Eco-friendly Cat Toy	20.9025	79	Kitty Kingdom	Toys	Made for healthy cats.
P162	Ultra Cat Bed	5.73	78	Purr-sonalized Picks	Toys	Perfect for stylish cats.
P163	Compact Cat Carrier	67.905	89	Meow & Co.	Scratching Posts	Perfect for healthy cats.
P164	Premium Cat Scratcher	7.2375	16	Fur-tune Goods	Safety	Ideal for pampered cats.
P165	Compact Cat Litter Box	48.8925	4	Feline Finds	Apparel	Perfect for adventurous cats.
P166	Deluxe Cat Collar	8.655	9	Purr-chase Paradise	Grooming	Ideal for adventurous cats.
P167	Deluxe Cat Scratcher	40.5	10	Kitty Kingdom	Bowls & Feeders	Made for pampered cats.
P168	Deluxe Cat Scratcher	33.8175	98	Kitty Komforts	Carriers	Perfect for playful cats.
P169	Ultra Cat Carrier	27.21	6	Fur-niture for Cats	Bowls & Feeders	Ideal for healthy cats.
P170	Premium Cat Bed	68.9475	79	Feline Essentials	Beds	Designed for healthy cats.
P171	Eco-friendly Cat Tree	67.05	54	Whisker Wonders Co.	Accessories	Best for pampered cats.
P172	Eco-friendly Cat Bed	71.73	24	Mew Market	Leisure	Perfect for healthy cats.
P173	Deluxe Cat Collar	64.59	1	Mew-tique	Gifts	Made for playful cats.
P174	Premium Cat Treat	61.575	98	Meowgic	Beds	Best for healthy cats.
P175	Compact Cat Scratcher	40.2225	14	Fur-tune Goods	Toys	Ideal for healthy cats.
P176	Deluxe Cat Treat	63.8775	36	Meow & More	Outdoor	Ideal for playful cats.
P177	Ultra Cat Toy	40.485	65	Cat Corner Co.	Clothing	Perfect for pampered cats.
P178	Deluxe Cat Food	40.32	18	Purr-sonalized Picks	Bowls & Feeders	Made for adventurous cats.
P179	Compact Cat Collar	12.4875	27	Pawsh	Seasonal	Best for healthy cats.
P180	Premium Cat Treat	63.48	77	Purr-sue Happiness	Clothing	Made for healthy cats.
P181	Deluxe Cat Carrier	55.275	89	Kitty Kingdom	Seasonal	Best for healthy cats.
P182	Premium Cat Toy	30.4725	98	Purr-chase Paradise	Decor	Best for playful cats.
P183	Eco-friendly Cat Litter Box	35.3775	77	Fur-endly Goods	Furniture	Made for playful cats.
P184	Eco-friendly Cat Scratcher	20.76	79	Catify	Decor	Ideal for pampered cats.
P185	Deluxe Cat Bed	61.8	69	Cat-tastic Supplies	Gifts	Perfect for adventurous cats.
P186	Premium Cat Toy	47.445	59	Mew Market	Bowls & Feeders	Made for playful cats.
P187	Compact Cat Collar	50.46	59	Purr-sue Happiness	Safety	Made for playful cats.
P188	Compact Cat Litter Box	41.7	64	Pawsitively Purrfect	Outdoor	Ideal for playful cats.
P189	Ultra Cat Bed	32.6025	92	Cat-tastic Supplies	Seasonal	Best for stylish cats.
P190	Compact Cat Brush	42.795	5	Purr-sue Happiness	Food	Ideal for playful cats.
P191	Compact Cat Carrier	71.2875	50	Mew-niverse	Apparel	Made for pampered cats.
P192	Compact Cat Bed	6.0975	39	Whiskerful Wonders	Leisure	Perfect for stylish cats.
P193	Premium Cat Collar	33.45	88	Feline Essentials	Outdoor	Designed for stylish cats.
P194	Premium Cat Brush	71.7225	95	Whisker Wares	Health	Designed for healthy cats.
P195	Compact Cat Collar	72.8325	54	Tabby Trading	Seasonal	Best for adventurous cats.
P196	Eco-friendly Cat Carrier	18.2475	13	Fur-midable Finds	Food	Best for playful cats.
P197	Deluxe Cat Treat	19.005	8	Whisker Wares	Furniture	Ideal for healthy cats.
P198	Ultra Cat Bed	38.04	46	Tail Waggers	Leisure	Designed for healthy cats.
P199	Eco-friendly Cat Food	38.565	51	Whisker Whisperers	Clothing	Designed for stylish cats.
P200	Premium Cat Litter Box	36.6225	5	Cat Corner Co.	Bowls & Feeders	Best for pampered cats.
P201	Ultra Cat Treat	3.9975	39	Meow Mart	Health	Best for playful cats.
P202	Premium Cat Scratcher	55.095	42	Purrfection Unlimited	Furniture	Perfect for playful cats.
P203	Eco-friendly Cat Tree	34.9575	55	Kitty Chic	Scratching Posts	Perfect for playful cats.
P204	Eco-friendly Cat Tree	25.71	86	Purrfect Products	Decor	Perfect for stylish cats.
P205	Compact Cat Carrier	56.6475	65	Meow & Co.	Furniture	Made for playful cats.
P206	Premium Cat Scratcher	46.995	13	Meow & More	Scratching Posts	Perfect for stylish cats.
P207	Compact Cat Collar	20.07	17	Feline Essentials	Training	Ideal for healthy cats.
P208	Ultra Cat Carrier	41.2575	80	Meow Mart	Health	Best for pampered cats.
P209	Premium Cat Food	4.2675	86	Purr-sonalized Picks	Electronics	Made for adventurous cats.
P210	Eco-friendly Cat Collar	68.64	74	Paw-sibilities Unlimited	Carriers	Designed for stylish cats.
P211	Compact Cat Scratcher	64.7325	10	Catify	Leisure	Best for stylish cats.
P212	Premium Cat Carrier	69.9525	32	Purr-fectly Pawsible	Toys	Designed for adventurous cats.
P213	Compact Cat Litter Box	21.18	40	Whisker Wonders Co.	Grooming	Best for pampered cats.
P214	Eco-friendly Cat Toy	33.4875	20	Purrfect Products	Gifts	Designed for pampered cats.
P215	Ultra Cat Food	47.5125	42	Tabby Trading	Decor	Made for adventurous cats.
P216	Premium Cat Scratcher	11.595	6	Claw & Order	Scratching Posts	Best for pampered cats.
P217	Compact Cat Carrier	3.9975	4	Pawsh	Furniture	Designed for pampered cats.
P218	Compact Cat Bed	69.615	40	Pawsitive Finds	Safety	Best for adventurous cats.
P219	Ultra Cat Litter Box	72.8475	22	Paw Prints Co.	Accessories	Best for adventurous cats.
P220	Ultra Cat Litter Box	46.0575	36	Purrchandise	Grooming	Best for stylish cats.
P221	Premium Cat Treat	19.1625	92	Paw Prints Co.	Seasonal	Perfect for playful cats.
P222	Ultra Cat Toy	5.1675	100	Cat Craze	Scratching Posts	Perfect for pampered cats.
P223	Deluxe Cat Scratcher	7.875	82	Purrfect Products	Seasonal	Ideal for pampered cats.
P224	Eco-friendly Cat Bed	64.8075	90	Paw Prints Co.	Beds	Best for adventurous cats.
P225	Eco-friendly Cat Tree	48.4425	22	Purrchandise	Carriers	Ideal for stylish cats.
P226	Compact Cat Bed	25.92	68	Purrfectly Practical	Scratching Posts	Perfect for healthy cats.
P227	Deluxe Cat Carrier	32.7525	35	Meow Mart	Accessories	Made for adventurous cats.
P228	Ultra Cat Collar	51.015	58	Pawsitively Purrfect	Scratching Posts	Ideal for healthy cats.
P229	Premium Cat Treat	10.17	0	Paw-sibilities Unlimited	Carriers	Best for pampered cats.
P230	Premium Cat Bed	16.9575	58	Feline Finds	Beds	Made for healthy cats.
P231	Eco-friendly Cat Scratcher	4.7475	1	Purrfection Unlimited	Food	Best for playful cats.
P232	Ultra Cat Food	72.405	29	Claw & Paws	Grooming	Perfect for stylish cats.
P233	Eco-friendly Cat Food	66.9075	67	Pawsitive Finds	Accessories	Perfect for adventurous cats.
P234	Deluxe Cat Carrier	51.3075	32	Meow & More	Training	Made for healthy cats.
P235	Deluxe Cat Litter Box	65.505	31	Cat-tastic Supplies	Electronics	Designed for healthy cats.
P236	Deluxe Cat Collar	74.595	99	Mew Market	Clothing	Ideal for adventurous cats.
P237	Deluxe Cat Collar	3.8175	36	Pawsh	Carriers	Best for adventurous cats.
P238	Premium Cat Tree	66.18	48	Purrfect Products	Training	Best for pampered cats.
P239	Deluxe Cat Carrier	39.4725	67	Feline Finds	Carriers	Designed for adventurous cats.
P240	Deluxe Cat Toy	16.1475	30	Fur-midable Finds	Scratching Posts	Designed for healthy cats.
P241	Premium Cat Treat	61.5975	20	Claw & Paws	Furniture	Ideal for stylish cats.
P242	Eco-friendly Cat Scratcher	68.115	72	Fur-tune Goods	Seasonal	Made for pampered cats.
P243	Deluxe Cat Toy	54.84	0	Mew-tique	Toys	Made for healthy cats.
P244	Compact Cat Treat	48.015	24	Whisker Whisperers	Leisure	Perfect for pampered cats.
P245	Compact Cat Collar	24.225	75	Cat-tastic Supplies	Gifts	Perfect for playful cats.
P246	Deluxe Cat Bed	64.965	82	Mew Market	Gifts	Perfect for healthy cats.
P247	Compact Cat Collar	68.2875	57	Tabby Treasures	Scratching Posts	Ideal for playful cats.
P248	Compact Cat Litter Box	50.1375	38	Fur-tune Goods	Leisure	Perfect for stylish cats.
P249	Compact Cat Tree	67.8075	61	Whiskerful Wonders	Scratching Posts	Ideal for playful cats.
P250	Ultra Cat Food	10.5	5	Whisker Wonders Co.	Outdoor	Ideal for playful cats.
P251	Premium Cat Brush	5.04	5	Catify	Outdoor	Best for healthy cats.
P252	Compact Cat Litter Box	19.815	24	Purr-fectly Pawsible	Clothing	Made for adventurous cats.
P253	Premium Cat Litter Box	28.8375	44	Purrfectly Practical	Toys	Designed for pampered cats.
P254	Premium Cat Treat	72.6675	40	Tabby Treasures	Health	Perfect for pampered cats.
P255	Compact Cat Tree	32.3775	75	Meow & Co.	Toys	Perfect for adventurous cats.
P256	Compact Cat Tree	34.755	58	Mew Market	Training	Perfect for healthy cats.
P257	Ultra Cat Bed	12.54	64	Fur Real Supplies	Grooming	Made for healthy cats.
P258	Premium Cat Brush	7.38	33	Purrfect Products	Gifts	Perfect for playful cats.
P259	Premium Cat Treat	9.6225	28	Meow & More	Food	Ideal for playful cats.
P260	Compact Cat Carrier	9.2925	15	Pawsome Picks	Carriers	Perfect for pampered cats.
P261	Ultra Cat Brush	22.7925	98	Fur-niture for Cats	Leisure	Designed for pampered cats.
P262	Premium Cat Treat	46.89	67	Kitty Komforts	Leisure	Designed for playful cats.
P263	Compact Cat Collar	73.2375	13	Purr-chase Paradise	Toys	Designed for stylish cats.
P264	Compact Cat Collar	28.5	5	Fur Real Supplies	Bowls & Feeders	Best for stylish cats.
P265	Deluxe Cat Collar	9.72	59	Purrfection Unlimited	Food	Perfect for healthy cats.
P266	Premium Cat Tree	20.61	26	Mew Market	Leisure	Made for playful cats.
P267	Ultra Cat Brush	12.555	20	Tail Traders	Grooming	Designed for healthy cats.
P268	Compact Cat Scratcher	45.0375	12	Purr-chase Paradise	Training	Best for stylish cats.
P269	Deluxe Cat Litter Box	44.4675	97	Cat Craze	Training	Designed for pampered cats.
P270	Eco-friendly Cat Bed	62.46	86	Mew-tique	Safety	Made for healthy cats.
P271	Eco-friendly Cat Scratcher	6.48	87	Tabby Treasures	Scratching Posts	Ideal for stylish cats.
P272	Deluxe Cat Food	47.8875	37	Fur Real Supplies	Toys	Made for healthy cats.
P273	Deluxe Cat Scratcher	53.1	16	Tailor Made for Cats	Carriers	Perfect for pampered cats.
P274	Premium Cat Toy	46.9875	17	Cat-tastic Supplies	Clothing	Perfect for playful cats.
P275	Compact Cat Collar	67.845	75	Tabby Trading	Furniture	Perfect for playful cats.
P276	Compact Cat Bed	42.255	2	Tabby Treasures	Apparel	Best for adventurous cats.
P277	Premium Cat Brush	15.39	60	Paw-sibilities Unlimited	Food	Made for adventurous cats.
P278	Compact Cat Scratcher	23.3775	40	Meow & Co.	Grooming	Designed for healthy cats.
P279	Deluxe Cat Food	30.6375	44	Whisker Wonders	Safety	Perfect for pampered cats.
P280	Premium Cat Food	17.8875	46	Purr-sonalized Picks	Scratching Posts	Made for playful cats.
P281	Premium Cat Scratcher	12.5025	61	Meowgic	Training	Designed for stylish cats.
P282	Deluxe Cat Brush	71.3625	43	Pawsitive Finds	Carriers	Made for playful cats.
P283	Deluxe Cat Treat	37.2	90	Tailor Made for Cats	Apparel	Designed for adventurous cats.
P284	Premium Cat Litter Box	66.7125	35	Purrfect Products	Outdoor	Perfect for stylish cats.
P285	Ultra Cat Litter Box	39.945	56	Cat Corner Co.	Accessories	Made for playful cats.
P286	Ultra Cat Bed	34.425	51	Paw-sibilities Unlimited	Apparel	Ideal for healthy cats.
P287	Eco-friendly Cat Litter Box	60.4425	32	Purrfect Products	Accessories	Best for stylish cats.
P288	Ultra Cat Carrier	23.3625	67	Whisker Wonders	Food	Perfect for stylish cats.
P289	Ultra Cat Carrier	29.595	94	Whiskerful Wonders	Seasonal	Perfect for pampered cats.
P290	Premium Cat Bed	37.2225	59	Fur Real Supplies	Training	Best for playful cats.
P291	Premium Cat Treat	14.16	98	Whisker Wares	Toys	Ideal for stylish cats.
P292	Deluxe Cat Bed	64.515	97	Pawsitively Purrfect	Health	Ideal for stylish cats.
P293	Compact Cat Treat	62.82	27	Mew Market	Clothing	Ideal for adventurous cats.
P294	Premium Cat Scratcher	43.485	61	Kitty Komforts	Seasonal	Perfect for adventurous cats.
P295	Compact Cat Treat	19.26	65	Mew Market	Beds	Made for pampered cats.
P296	Eco-friendly Cat Tree	35.52	19	Meowgic	Bowls & Feeders	Designed for stylish cats.
P297	Compact Cat Scratcher	14.3025	71	Purr-sue Happiness	Seasonal	Ideal for adventurous cats.
P298	Compact Cat Scratcher	66.3375	94	Kitty Kingdom	Grooming	Perfect for adventurous cats.
P299	Compact Cat Brush	41.6025	26	Meow Mart	Decor	Ideal for playful cats.
P300	Compact Cat Treat	72	46	Whiskerful Wonders	Food	Ideal for playful cats.
